event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,4.210975021123886e-06,,,,,False,numbers=20 curves_per_n=12 initial_samples=16 iterations=22 candidate_pool=2500 workers=12,2026-04-07T14:39:26.168227+00:00
2,evaluation,1,0.2555339550017379,2053,26570,12.94203604481247,0.8980274889530847,False,,2026-04-07T14:39:26.423799+00:00
3,new_best,1,0.25562983099371195,2053,26570,12.94203604481247,0.8980274889530847,True,,2026-04-07T14:39:26.423853+00:00
4,evaluation,2,0.9463517559925094,18785,364483,19.402874634016502,2.840719256454031,False,,2026-04-07T14:39:27.114586+00:00
5,evaluation,3,1.3399831269634888,9282,48071,5.1789485024779145,1.6814902782498393,False,,2026-04-07T14:39:27.508216+00:00
6,evaluation,4,1.5954552390030585,3570,3570,1.0,0.9137829800893087,False,,2026-04-07T14:39:27.763689+00:00
7,evaluation,5,1.891742343956139,1540,30800,20.0,1.1929923714487813,False,,2026-04-07T14:39:28.059978+00:00
8,evaluation,6,2.6334089579759166,26753,26753,1.0,3.415102599916281,False,,2026-04-07T14:39:28.801649+00:00
9,evaluation,7,2.96691345598083,7489,7489,1.0,1.3498497668479104,False,,2026-04-07T14:39:29.135150+00:00
10,evaluation,8,3.267515770974569,3619,4749,1.3122409505388228,1.132979400639306,False,,2026-04-07T14:39:29.435752+00:00
11,evaluation,9,3.5574522619717754,2615,52300,20.0,1.1407388832303695,False,,2026-04-07T14:39:29.725687+00:00
12,evaluation,10,3.833344076992944,2239,28416,12.691380080393033,1.008381291263504,False,,2026-04-07T14:39:30.001576+00:00
13,evaluation,11,4.202385301003233,6366,6366,1.0,1.4798042544862255,False,,2026-04-07T14:39:30.370621+00:00
14,evaluation,12,4.81558967998717,18106,18106,1.0,2.794672591757262,False,,2026-04-07T14:39:30.983824+00:00
15,evaluation,13,5.044602131994907,1505,13704,9.105647840531562,0.8438750820350833,False,,2026-04-07T14:39:31.212837+00:00
16,new_best,13,5.044671654002741,1505,13704,9.105647840531562,0.8438750820350833,True,,2026-04-07T14:39:31.212894+00:00
17,evaluation,14,5.301355618983507,1310,26200,20.0,0.9245918910601176,False,,2026-04-07T14:39:31.469591+00:00
18,evaluation,15,5.659221012960188,9150,9150,1.0,1.479284936998738,False,,2026-04-07T14:39:31.827456+00:00
19,evaluation,16,5.994794002966955,8401,8401,1.0,1.3909025089233182,False,,2026-04-07T14:39:32.163029+00:00
20,step,16,5.994864777952898,,,,,False,initial_design_completed points=16,2026-04-07T14:39:32.163087+00:00
21,evaluation,17,6.249411950993817,1041,20820,20.0,0.8405992001935374,False,,2026-04-07T14:39:32.417645+00:00
