event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,is_new_best,message,timestamp_utc
1,step,0,4.467030521482229e-06,,,,,False,numbers=20 curves_per_n=12 swarm_size=18 iterations=12 workers=12,2026-04-07T14:38:23.570130+00:00
2,evaluation,1,0.2916991210076958,5314,5314,1.0,1.1367796693230048,False,,2026-04-07T14:38:23.861834+00:00
3,evaluation,2,0.5622919030138291,2567,25141,9.79392286716011,1.0509261299448553,False,,2026-04-07T14:38:24.132424+00:00
4,evaluation,3,0.9902681080275215,7661,13646,1.7812296044902753,1.7688610922341468,False,,2026-04-07T14:38:24.560400+00:00
5,evaluation,4,1.3436166680185124,5579,5579,1.0,1.4360530789126642,False,,2026-04-07T14:38:24.913750+00:00
6,evaluation,5,1.6592800550279208,2671,24825,9.294271808311494,1.2336131738557015,False,,2026-04-07T14:38:25.229412+00:00
7,evaluation,6,1.9577932080137543,1212,24240,20.0,1.1336942392226774,False,,2026-04-07T14:38:25.527926+00:00
8,evaluation,7,2.3279858420137316,3379,63941,18.923054158034923,1.3855114934500308,False,,2026-04-07T14:38:25.898119+00:00
9,evaluation,8,2.995969108014833,16847,45029,2.672820086662314,2.9271038491948276,False,,2026-04-07T14:38:26.566101+00:00
10,evaluation,9,3.3384503130218945,2746,54920,20.0,1.3550938955449965,False,,2026-04-07T14:38:26.908582+00:00
11,evaluation,10,3.7892576860031113,10193,10193,1.0,1.9509732706355862,False,,2026-04-07T14:38:27.359389+00:00
12,evaluation,11,4.4321138500235975,18857,18857,1.0,2.6947171589010397,False,,2026-04-07T14:38:28.002247+00:00
13,evaluation,12,4.7247792790294625,1322,26440,20.0,1.0045424915442709,False,,2026-04-07T14:38:28.294912+00:00
14,evaluation,13,5.542784801044036,28399,28399,1.0,3.811448428838048,False,,2026-04-07T14:38:29.112916+00:00
15,evaluation,14,5.842090919031762,1116,22320,20.0,1.1230094257043675,False,,2026-04-07T14:38:29.412223+00:00
16,evaluation,15,6.084501886041835,2214,3127,1.4123757904245708,0.8576391283859266,False,,2026-04-07T14:38:29.654636+00:00
17,evaluation,16,6.750224493036512,19988,60590,3.031318791274765,3.0399821393657476,False,,2026-04-07T14:38:30.320361+00:00
18,evaluation,17,7.757704247022048,25192,190407,7.55823277230867,4.2881189987907415,False,,2026-04-07T14:38:31.327837+00:00
19,evaluation,18,8.07693536503939,5394,5394,1.0,1.196695071258,False,,2026-04-07T14:38:31.647069+00:00
20,new_best,15,8.077046616992448,2214,3127,1.4123757904245708,0.8576391283859266,True,,2026-04-07T14:38:31.647173+00:00
21,step,18,8.077140731038526,,,,,False,init_best fitness=0.8576391283859266,2026-04-07T14:38:31.647267+00:00
22,evaluation,19,8.34876850002911,2407,4101,1.7037806398005817,1.0233184909448028,False,,2026-04-07T14:38:31.918902+00:00
23,evaluation,20,8.586781429010443,2914,3298,1.1317776252573781,0.874963447713526,False,,2026-04-07T14:38:32.156915+00:00
24,evaluation,21,8.836130216019228,1742,7042,4.04247990815155,0.8856344532978255,False,,2026-04-07T14:38:32.406263+00:00
25,evaluation,22,9.094312408997212,4060,4060,1.0,0.9886758953216486,False,,2026-04-07T14:38:32.664446+00:00
26,evaluation,23,9.328441115038004,1493,2513,1.683188211654387,0.8418747399409767,False,,2026-04-07T14:38:32.898578+00:00
27,new_best,23,9.328520158014726,1493,2513,1.683188211654387,0.8418747399409767,True,,2026-04-07T14:38:32.898646+00:00
28,evaluation,24,9.582780893018935,1300,26000,20.0,0.9709056137653533,False,,2026-04-07T14:38:33.152915+00:00
29,evaluation,25,9.813741371035576,1706,10340,6.060961313012895,0.8481581917440053,False,,2026-04-07T14:38:33.383875+00:00
30,evaluation,26,10.30853126902366,16202,16202,1.0,2.1520076376618817,False,,2026-04-07T14:38:33.878666+00:00
31,evaluation,27,10.595729675027542,2930,46176,15.759726962457338,1.126510413858341,False,,2026-04-07T14:38:34.165867+00:00
32,evaluation,28,10.81034520099638,1000,1654,1.654,0.744547791662626,False,,2026-04-07T14:38:34.380482+00:00
33,new_best,28,10.810438373999204,1000,1654,1.654,0.744547791662626,True,,2026-04-07T14:38:34.380564+00:00
34,evaluation,29,11.025766603008378,1000,1509,1.509,0.751617797621293,False,,2026-04-07T14:38:34.595899+00:00
35,evaluation,30,11.246140498027671,1371,3395,2.476294675419402,0.7761549784918316,False,,2026-04-07T14:38:34.816274+00:00
36,evaluation,31,11.48027727700537,2567,2567,1.0,0.8517820472479798,False,,2026-04-07T14:38:35.050411+00:00
37,evaluation,32,11.67635608004639,1011,1011,1.0,0.674363661906682,False,,2026-04-07T14:38:35.246490+00:00
38,new_best,32,11.67642401001649,1011,1011,1.0,0.674363661906682,True,,2026-04-07T14:38:35.246549+00:00
39,evaluation,33,11.911897682992276,2673,2673,1.0,0.8373044800537173,False,,2026-04-07T14:38:35.482032+00:00
40,evaluation,34,12.124019559007138,1864,1864,1.0,0.7485495642176829,False,,2026-04-07T14:38:35.694153+00:00
41,evaluation,35,12.337846496026032,1340,2734,2.0402985074626865,0.7631708095432259,False,,2026-04-07T14:38:35.907979+00:00
42,evaluation,36,12.548856462992262,1262,1262,1.0,0.7162106574687641,False,,2026-04-07T14:38:36.118993+00:00
43,step,36,12.548955703037791,,,,,False,iteration=1/12 best_fitness=0.674363661906682,2026-04-07T14:38:36.119081+00:00
44,evaluation,37,12.76465988199925,1370,2449,1.7875912408759125,0.7596767428622115,False,,2026-04-07T14:38:36.334793+00:00
45,evaluation,38,12.965186874032952,1331,1331,1.0,0.7019673707545735,False,,2026-04-07T14:38:36.535320+00:00
46,evaluation,39,13.162366755015682,1000,1000,1.0,0.6836676660459489,False,,2026-04-07T14:38:36.732500+00:00
47,evaluation,40,13.366045527043752,1000,1000,1.0,0.7034359146782663,False,,2026-04-07T14:38:36.936178+00:00
48,evaluation,41,13.565406205016188,1000,1000,1.0,0.6875383481383324,False,,2026-04-07T14:38:37.135539+00:00
49,evaluation,42,13.773473342007492,1018,2819,2.769155206286837,0.7224184086953755,False,,2026-04-07T14:38:37.343607+00:00
50,evaluation,43,13.975266143039335,1000,1134,1.134,0.6911195598659106,False,,2026-04-07T14:38:37.545400+00:00
51,evaluation,44,14.373683408019133,10367,10367,1.0,1.6192220262775663,False,,2026-04-07T14:38:37.943817+00:00
52,evaluation,45,14.61003768601222,2391,2391,1.0,0.8729760968999472,False,,2026-04-07T14:38:38.180172+00:00
53,evaluation,46,14.813564115029294,1000,1000,1.0,0.6983591603930108,False,,2026-04-07T14:38:38.383697+00:00
54,evaluation,47,15.012145381013397,1000,1000,1.0,0.6778540270752273,False,,2026-04-07T14:38:38.582279+00:00
55,evaluation,48,15.226544431992806,1000,1000,1.0,0.7274124331888743,False,,2026-04-07T14:38:38.796677+00:00
56,evaluation,49,15.439947573002428,1000,1000,1.0,0.7425646772026084,False,,2026-04-07T14:38:39.010081+00:00
57,evaluation,50,15.65117809799267,1000,1000,1.0,0.7043872894137166,False,,2026-04-07T14:38:39.221312+00:00
58,evaluation,51,15.855279162002262,1089,1089,1.0,0.6974980996455997,False,,2026-04-07T14:38:39.425412+00:00
