phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 initial_samples=10 iterations=10 candidate_pool=1000 workers=12,1,0,0,0,,,4.83501935377717e-06
2,initial_design_completed points=10,1,10,10,3,0.9661720656731632,,3.490129159006756
3,iteration=1/10 best_fitness=0.9661720656731632,11,11,1,0,1.0271328777307644,-0.06096081205760129,0.2805160309653729
4,iteration=2/10 best_fitness=0.9661720656731632,12,12,1,0,1.003537453332683,0.023595424398081377,0.27717663801740855
5,iteration=3/10 best_fitness=0.9661720656731632,13,13,1,0,1.639334104344016,-0.6357966510113329,0.402101291983854
6,iteration=4/10 best_fitness=0.9661720656731632,14,14,1,0,1.0037382429873105,0.6355958613567054,0.27538438799092546
7,iteration=5/10 best_fitness=0.9661720656731632,15,15,1,0,1.0395165770023596,-0.03577833401504904,0.2848528019967489
8,iteration=6/10 best_fitness=0.9661720656731632,16,16,1,0,1.0378215840901248,0.0016949929122347385,0.2773313110228628
9,iteration=7/10 best_fitness=0.9661720656731632,17,17,1,0,1.096574000432156,-0.05875241634203121,0.2954415860003792
10,iteration=8/10 best_fitness=0.9661720656731632,18,18,1,0,1.121208107622806,-0.024634107190649956,0.2965971209923737
11,iteration=9/10 best_fitness=0.8874846851889743,19,19,1,1,0.8874846851889743,0.2337234224338317,0.26149877498392016
12,iteration=10/10 best_fitness=0.8874846851889743,20,20,1,0,0.9242043384292629,-0.036719653240288586,0.26455942302709445
