new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,7.875387568026781,1421,4472,3.147079521463758,0.7173412226256914,,,
2,33,12.858757360023446,1243,3442,2.7691069991954946,0.7123632118455134,0.0049780107801780105,0.6939529784663631,31
3,52,17.460290117014665,1185,3132,2.643037974683544,0.7028410919883754,0.009522119857138023,1.3366944978066941,18
4,67,22.021115350013133,1000,2642,2.642,0.6850196360319387,0.017821455956436694,2.5356309071256535,14
5,100,26.590479764039628,1000,1428,1.428,0.6818961620447226,0.00312347398721613,0.45596853329770815,32
6,127,31.037347909004893,1026,2741,2.671539961013645,0.6706663980439771,0.01122976400074549,1.6468437022833662,26
7,145,35.40286527300486,1033,1793,1.7357212003872218,0.6521697630523704,0.018496634991606697,2.757948668004362,17
8,194,48.55506281903945,1009,1251,1.2398414271555995,0.6521637612604536,6.001791916787624e-06,0.0009202806166138784,48
9,214,52.95751433301484,1136,1136,1.0,0.6490318941650912,0.003131867095362395,0.4802270965362067,19
10,270,61.62971941602882,1116,1116,1.0,0.6447594202472828,0.004272473917808384,0.6582841238186693,55
11,284,65.92917036102153,1091,1093,1.001833180568286,0.6418755991326179,0.0028838211146648973,0.44727087718375225,13
12,308,70.22447136003757,1002,1002,1.0,0.6337851487041917,0.008090450428426266,1.2604390070847198,23
