phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 popsize=10 maxiter=10 workers=12,1,0,0,0,,,4.755000190925784e-06
2,generation=1/10 best_fitness=0.5000304340014736,1,40,40,6,0.5000304340014736,,10.307262262999757
3,generation=2/10 best_fitness=0.49118515099894466,41,60,20,1,0.49118515099894466,0.008845283002528959,3.822887140000148
4,generation=3/10 best_fitness=0.49118515099894466,61,80,20,0,0.503723920997345,-0.012538769998400312,4.1681055139997625
5,generation=4/10 best_fitness=0.49118515099894466,81,100,20,0,0.5156357304983885,-0.011911809501043535,3.907687306000298
6,generation=5/10 best_fitness=0.49118515099894466,101,120,20,0,0.4996398420018977,0.015995888496490807,3.4974225480000314
7,generation=6/10 best_fitness=0.49118515099894466,121,140,20,0,0.49743234550055604,0.002207496501341666,3.623331508999854
8,generation=7/10 best_fitness=0.49118515099894466,141,160,20,0,0.5005934645016623,-0.0031611190011062718,3.3294363519999024
9,generation=8/10 best_fitness=0.4876406714984114,161,180,20,1,0.4876406714984114,0.012952793003250918,3.3462885359999746
10,generation=9/10 best_fitness=0.4876406714984114,181,200,20,0,0.4936815219973596,-0.006040850498948203,3.331764669000222
11,generation=10/10 best_fitness=0.4872670474996994,201,220,20,1,0.4872670474996994,0.006414474497660194,3.319294181999794
