metric,value
best_eval,25
best_eval_fraction,0.6578947368421053
eval_per_sec,0.21946443322722908
evaluation_count,38
improvement_percent,80.51807709467455
max_plateau_evals,16
median_plateau_evals,5.0
new_best_count,4
new_best_rate,0.10526315789473684
p90_plateau_evals,14.8
time_to_best_sec,85.23404154599848
time_to_first_improvement_sec,1.3768083089962602
total_runtime_sec,173.14888163499563
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
