metric,value
best_eval,172
best_eval_fraction,0.7818181818181819
eval_per_sec,0.24928975630651878
evaluation_count,220
improvement_percent,60.290241135020516
max_plateau_evals,48
median_plateau_evals,20.0
new_best_count,8
new_best_rate,0.03636363636363636
p90_plateau_evals,44.8
time_to_best_sec,640.6142781399976
time_to_first_improvement_sec,5.983996392002155
total_runtime_sec,882.5146604269976
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
