new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,17,43.55877297600091,22383,125967,5.6277978823214045,552934.702068309,31,,,
2,20,52.62041940900235,30000,145790,4.859666666666667,522835.1836628649,33,30099.518405444047,5.443593663565284,2
3,21,58.63583252100216,30000,301282,10.042733333333333,272368.18253134686,47,250467.00113151805,47.905536765296276,0
4,30,106.57297413599736,30000,513946,17.131533333333334,233284.7498281544,49,39083.43270319246,14.34948544281392,8
5,56,268.2130318510026,30000,600000,20.0,227601.26544059473,49,5683.484387559671,2.436286294644773,25
6,74,395.41064720300346,30000,600000,20.0,212967.9639733958,50,14633.301467198937,6.429358570951493,17
7,78,424.29509421200055,30000,600000,20.0,201668.10040603369,51,11299.863567362103,5.3058982940615875,3
8,90,512.9914397250031,30000,600000,20.0,179734.6124422724,52,21933.48796376129,10.87603241147258,11
9,118,718.0849158120036,30000,600000,20.0,164117.9971245083,53,15616.61531776408,8.6887078151293,27
10,167,1075.3642893549986,30000,600000,20.0,124884.4614919862,55,39233.53563252211,23.905687566219527,48
