phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,1,0,0,0,0,,,,1.2649004929699004e-05
2,generation=1/10 best_fitness=-0.09140442242254307,1,40,40,4,249,6.225,-0.09140442242254307,,111.17912902199896
3,generation=2/10 best_fitness=-0.09140442242254307,41,60,20,0,194,9.7,-0.009646079715545368,-0.0817583427069977,68.1120610020007
4,generation=3/10 best_fitness=-0.2739069132001103,61,80,20,1,258,12.9,-0.2739069132001103,0.2642608334845649,65.52710264599591
5,generation=4/10 best_fitness=-0.2739069132001103,81,100,20,0,295,14.75,-0.0643260325346652,-0.20958088066544509,70.92182460900221
6,generation=5/10 best_fitness=-0.2739069132001103,101,120,20,0,440,22.0,-0.21271203103826322,0.14838599850359802,76.3473245990026
7,generation=6/10 best_fitness=-0.3123135417249192,121,140,20,1,427,21.35,-0.3123135417249192,0.09960151068665599,72.71470220699848
8,generation=7/10 best_fitness=-0.3467059700566294,141,160,20,1,330,16.5,-0.3467059700566294,0.03439242833171019,67.98795783700189
9,generation=8/10 best_fitness=-0.3467059700566294,161,180,20,0,338,16.9,-0.2883020114151206,-0.058403958641508824,66.55305445399426
10,generation=9/10 best_fitness=-0.3467059700566294,181,200,20,0,406,20.3,-0.24861301752962378,-0.03968899388549679,71.82528969399573
11,generation=10/10 best_fitness=-0.3467059700566294,201,220,20,0,333,16.65,-0.2651077743979487,0.01649475686832491,68.38867946800019
