phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 population_size=22 generations=14 mutation_prob=0.14 workers=56,1,0,0,0,0,,,,7.246999302878976e-06
2,init_best fitness=0.020451895576175647,1,22,22,1,241,10.954545454545455,0.020451895576175647,,68.72767514501174
3,generation=1/14 best_fitness=0.020451895576175647,23,43,21,0,287,13.666666666666666,0.1914348014999167,-0.17098290592374105,69.35066522899433
4,generation=2/14 best_fitness=0.020280788628292596,44,64,21,1,514,24.476190476190474,0.020280788628292596,0.1711540128716241,86.85352476600383
5,generation=3/14 best_fitness=-0.06940172812985299,65,85,21,1,530,25.238095238095237,-0.06940172812985299,0.08968251675814558,87.1801086129999
6,generation=4/14 best_fitness=-0.06940172812985299,86,106,21,0,535,25.476190476190474,-0.0646875729812092,-0.004714155148643789,88.6879441869969
7,generation=5/14 best_fitness=-0.06940172812985299,107,127,21,0,492,23.428571428571427,-0.035398352084210175,-0.02928922089699902,87.05760862199531
8,generation=6/14 best_fitness=-0.08735226362392563,128,148,21,1,504,24.0,-0.08735226362392563,0.05195391153971546,85.7059960810002
9,generation=7/14 best_fitness=-0.08974690875901098,149,169,21,1,530,25.238095238095237,-0.08974690875901098,0.0023946451350853465,87.57317852199776
10,generation=8/14 best_fitness=-0.08974690875901098,170,190,21,0,543,25.857142857142858,-0.06206186739763461,-0.027685041361376367,87.21123701801116
11,generation=9/14 best_fitness=-0.10988076403565711,191,211,21,1,554,26.38095238095238,-0.10988076403565711,0.047818896638022496,89.57004786399193
12,generation=10/14 best_fitness=-0.12633045518116415,212,232,21,1,492,23.428571428571427,-0.12633045518116415,0.01644969114550704,92.83117729400692
13,generation=11/14 best_fitness=-0.12633045518116415,233,253,21,0,549,26.142857142857142,-0.0856332515915002,-0.040697203589663944,87.24474137999641
14,generation=12/14 best_fitness=-0.12633045518116415,254,274,21,0,537,25.571428571428573,-0.046391194918322276,-0.03924205667317793,89.18999525500112
15,generation=13/14 best_fitness=-0.12633045518116415,275,295,21,0,550,26.19047619047619,-0.0672012854202563,0.020810090501934025,90.3387777320022
16,generation=14/14 best_fitness=-0.12633045518116415,296,316,21,0,531,25.285714285714285,-0.09941830130306778,0.03221701588281148,88.25846511099371
