phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 swarm_size=18 iterations=12 workers=56,1,0,0,0,0,,,,5.071997293271124e-06
2,init_best fitness=4.142079902396051,1,18,18,1,74,4.111111111111111,4.142079902396051,,47.67719761400076
3,iteration=1/12 best_fitness=2.063207391576322,19,36,18,1,115,6.388888888888889,2.063207391576322,2.0788725108197292,46.43103512500238
4,iteration=2/12 best_fitness=0.49202957553390947,37,54,18,2,197,10.944444444444445,0.49202957553390947,1.5711778160424124,65.25093483399542
5,iteration=3/12 best_fitness=-0.15901382289158786,55,72,18,1,467,25.944444444444443,-0.15901382289158786,0.6510433984254973,88.43443373100308
6,iteration=4/12 best_fitness=-0.15901382289158786,73,90,18,0,496,27.555555555555557,0.10725458284933101,-0.26626840574091887,88.97741875400243
7,iteration=5/12 best_fitness=-0.15901382289158786,91,108,18,0,421,23.38888888888889,0.11755569242669577,-0.010301109577364756,79.68805596799939
8,iteration=6/12 best_fitness=-0.15901382289158786,109,126,18,0,323,17.944444444444443,-0.13703370532725911,0.2545893977539549,68.41923751399736
9,iteration=7/12 best_fitness=-0.15901382289158786,127,144,18,0,315,17.5,-0.013591746632747974,-0.12344195869451113,64.601834977002
10,iteration=8/12 best_fitness=-0.15901382289158786,145,162,18,0,402,22.333333333333332,-0.06895864755745817,0.0553669009247102,70.99499311899126
11,iteration=9/12 best_fitness=-0.15901382289158786,163,180,18,0,455,25.27777777777778,-0.06973585277704114,0.000777205219582966,76.38077851499838
12,iteration=10/12 best_fitness=-0.15901382289158786,181,198,18,0,472,26.22222222222222,-0.0681642125802836,-0.00157164019675754,78.2967769770039
13,iteration=11/12 best_fitness=-0.17941550481208682,199,216,18,1,401,22.27777777777778,-0.17941550481208682,0.11125129223180322,70.84895865900035
14,iteration=12/12 best_fitness=-0.17941550481208682,217,234,18,0,339,18.833333333333332,-0.17832591443562013,-0.0010895903764666925,63.61213207000401
