metric,value
best_eval,35
best_eval_fraction,0.5833333333333334
eval_per_sec,0.345065387306613
evaluation_count,60
improvement_percent,102.35372583280918
max_plateau_evals,25
median_plateau_evals,3.0
new_best_count,7
new_best_rate,0.11666666666666667
p90_plateau_evals,18.7
time_to_best_sec,98.84532648799359
time_to_first_improvement_sec,5.768912048995844
total_runtime_sec,173.88008825900033
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
