event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,6.459013093262911e-06,,,,,,False,numbers=20 max_curves_per_n=100 repeats_per_n=3 initial_samples=16 iterations=22 candidate_pool=2500 workers=56,2026-04-29T11:26:00.468437+00:00
2,evaluation,1,1.4361362549825571,334,8651,25.90119760479042,2.2624129357858678,0,False,,2026-04-29T11:26:01.904571+00:00
3,new_best,1,1.4361935179913417,334,8651,25.90119760479042,2.2624129357858678,,True,,2026-04-29T11:26:01.904624+00:00
4,evaluation,2,6.492677323985845,13682,304619,22.264215757930128,2.067574190486443,34,False,,2026-04-29T11:26:06.961113+00:00
5,new_best,2,6.492740331974346,13682,304619,22.264215757930128,2.067574190486443,,True,,2026-04-29T11:26:06.961171+00:00
6,evaluation,3,8.8349041879992,4194,19376,4.619933237958989,2.2642826681131383,9,False,,2026-04-29T11:26:09.303340+00:00
7,evaluation,4,10.13557765900623,845,845,1.0,2.229304401404479,0,False,,2026-04-29T11:26:10.604014+00:00
8,evaluation,5,11.67649928299943,206,20600,100.0,2.2852730645188104,0,False,,2026-04-29T11:26:12.144934+00:00
9,evaluation,6,18.01276567397872,24757,24757,1.0,2.8084614844931814,10,False,,2026-04-29T11:26:18.481201+00:00
10,evaluation,7,19.76512419997016,2927,2927,1.0,2.3355952368138833,0,False,,2026-04-29T11:26:20.233560+00:00
11,evaluation,8,21.079820539976936,864,864,1.0,2.2302938918249198,0,False,,2026-04-29T11:26:21.548257+00:00
12,evaluation,9,22.890046190004796,501,50100,100.0,2.3476101446637454,0,False,,2026-04-29T11:26:23.358482+00:00
13,evaluation,10,24.35424553201301,386,9479,24.55699481865285,2.2668180179988577,0,False,,2026-04-29T11:26:24.822681+00:00
14,evaluation,11,26.000889007002115,2229,2229,1.0,2.301636353777097,0,False,,2026-04-29T11:26:26.469325+00:00
15,evaluation,12,29.88615875999676,12864,12864,1.0,2.5933404353570952,5,False,,2026-04-29T11:26:30.354594+00:00
16,evaluation,13,31.271348293987103,198,3516,17.757575757575758,2.2387513815575693,0,False,,2026-04-29T11:26:31.739783+00:00
17,evaluation,14,32.807421802019235,157,14965,95.31847133757962,2.284944110663933,0,False,,2026-04-29T11:26:33.275857+00:00
18,evaluation,15,34.82959680899512,4095,4095,1.0,2.391293919619002,0,False,,2026-04-29T11:26:35.298032+00:00
19,evaluation,16,36.72430443397025,3549,3549,1.0,2.342688743483847,1,False,,2026-04-29T11:26:37.192739+00:00
20,step,16,36.72435968701029,,,,,,False,initial_design_completed points=16,2026-04-29T11:26:37.192790+00:00
21,evaluation,17,43.25914350600215,26590,261041,9.817262128619783,2.14113792233692,38,False,,2026-04-29T11:26:43.727578+00:00
22,step,17,43.259228078997694,,,,,,False,iteration=1/22 best_fitness=2.067574190486443,2026-04-29T11:26:43.727658+00:00
23,evaluation,18,48.53180426597828,20147,114982,5.7071524296421305,2.0358113476701707,36,False,,2026-04-29T11:26:49.000240+00:00
24,new_best,18,48.53186693898169,20147,114982,5.7071524296421305,2.0358113476701707,,True,,2026-04-29T11:26:49.000297+00:00
25,step,18,48.536100540019106,,,,,,False,iteration=2/22 best_fitness=2.0358113476701707,2026-04-29T11:26:49.004533+00:00
