event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,5.71901910007e-06,,,,,,False,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,2026-04-29T11:05:47.226408+00:00
2,evaluation,1,5.852612058981322,20240,122988,6.0764822134387355,2.1693485803206842,34,False,,2026-04-29T11:05:53.079020+00:00
3,new_best,1,5.852665870974306,20240,122988,6.0764822134387355,2.1693485803206842,,True,,2026-04-29T11:05:53.079068+00:00
4,evaluation,2,7.121237239975017,590,1556,2.6372881355932205,2.240215915890622,0,False,,2026-04-29T11:05:54.347646+00:00
5,evaluation,3,8.54220578999957,1044,4599,4.405172413793103,2.2585725142416093,1,False,,2026-04-29T11:05:55.768613+00:00
6,evaluation,4,10.304460672021378,1373,31957,23.275309541150765,2.355200156396255,0,False,,2026-04-29T11:05:57.530868+00:00
7,evaluation,5,12.095210352970753,3155,3155,1.0,2.317290299395205,2,False,,2026-04-29T11:05:59.321618+00:00
8,evaluation,6,15.11518415302271,2851,259551,91.0385829533497,2.4738166048124492,5,False,,2026-04-29T11:06:02.341593+00:00
9,evaluation,7,17.4886415139772,5486,10774,1.963908129784907,2.3273575927684966,7,False,,2026-04-29T11:06:04.715050+00:00
10,evaluation,8,21.076634848024696,12053,12053,1.0,2.561373348005616,5,False,,2026-04-29T11:06:08.303043+00:00
11,evaluation,9,27.187448838027194,24670,24670,1.0,2.745928124284666,11,False,,2026-04-29T11:06:14.413857+00:00
12,evaluation,10,30.079733439022675,7307,18597,2.545093745723279,2.459729493498603,5,False,,2026-04-29T11:06:17.306142+00:00
13,evaluation,11,31.194881499977782,328,328,1.0,2.203190504509414,0,False,,2026-04-29T11:06:18.421290+00:00
14,evaluation,12,32.71962126699509,2247,2247,1.0,2.2800098667475384,1,False,,2026-04-29T11:06:19.946030+00:00
15,evaluation,13,34.09487176698167,133,13300,100.0,2.2640096529223905,0,False,,2026-04-29T11:06:21.321281+00:00
16,evaluation,14,35.34248130500782,937,937,1.0,2.2356371551166685,0,False,,2026-04-29T11:06:22.568890+00:00
17,evaluation,15,38.13521486200625,5074,84162,16.586913677571935,2.3208313194515258,11,False,,2026-04-29T11:06:25.361623+00:00
18,evaluation,16,39.44519852899248,243,7593,31.246913580246915,2.249377810760938,0,False,,2026-04-29T11:06:26.671606+00:00
