metric,value
best_eval,132
best_eval_fraction,0.4177215189873418
eval_per_sec,0.4600363904389936
evaluation_count,316
improvement_percent,13.956603658913153
max_plateau_evals,184
median_plateau_evals,30.0
new_best_count,4
new_best_rate,0.012658227848101266
p90_plateau_evals,136.0
time_to_best_sec,317.17267156700836
time_to_first_improvement_sec,64.13603681401582
total_runtime_sec,686.9022847220185
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
