metric,value
best_eval,126
best_eval_fraction,0.5384615384615384
eval_per_sec,0.8531426939928418
evaluation_count,234
improvement_percent,3.8711225817367807
max_plateau_evals,108
median_plateau_evals,5.0
new_best_count,11
new_best_rate,0.04700854700854701
p90_plateau_evals,65.30000000000001
time_to_best_sec,161.76573658600682
time_to_first_improvement_sec,43.81756830099039
total_runtime_sec,274.2800799370161
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,True
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
