event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,evaluation,1,1.5367583169718273,1461,6510,4.455852156057495,2.2796848985117038,1,False,,2026-04-29T11:17:53.975667+00:00
2,new_best,1,1.5401083729811944,1461,6510,4.455852156057495,2.2796848985117038,,True,,2026-04-29T11:17:53.979012+00:00
3,step,1,1.5425839659874327,,,,,,False,step=1/60 new_best b1=1462 b2=6511 fitness=2.2796848985117038,2026-04-29T11:17:53.981487+00:00
4,evaluation,2,3.2450040159747005,1413,17407,12.319179051663127,2.302116672068474,2,False,,2026-04-29T11:17:55.683912+00:00
5,evaluation,3,4.375052179966588,175,421,2.4057142857142857,2.203729781295159,0,False,,2026-04-29T11:17:56.813961+00:00
6,new_best,3,4.375126555969473,175,421,2.4057142857142857,2.203729781295159,,True,,2026-04-29T11:17:56.814029+00:00
7,step,3,4.378615519963205,,,,,,False,step=3/60 new_best b1=175 b2=421 fitness=2.203729781295159,2026-04-29T11:17:56.817521+00:00
8,evaluation,4,6.688822222989984,1649,114748,69.58641600970284,2.426785284666279,2,False,,2026-04-29T11:17:59.127731+00:00
9,evaluation,5,11.410068753990345,17048,19440,1.1403097137494134,2.6329522309489466,9,False,,2026-04-29T11:18:03.848977+00:00
10,evaluation,6,12.795634418958798,140,14000,100.0,2.2657572884218924,0,False,,2026-04-29T11:18:05.234543+00:00
11,evaluation,7,14.789680030953605,1012,91418,90.33399209486166,2.3068100887296015,4,False,,2026-04-29T11:18:07.228589+00:00
12,evaluation,8,16.540424034988973,832,36419,43.77283653846154,2.3488249178533214,0,False,,2026-04-29T11:18:08.979333+00:00
13,evaluation,9,22.829315182985738,21489,262633,12.221741356042626,2.3409737004524134,27,False,,2026-04-29T11:18:15.268224+00:00
14,evaluation,10,24.576428917993326,516,42397,82.16472868217055,2.3247928933132216,1,False,,2026-04-29T11:18:17.015338+00:00
15,evaluation,11,25.98757380398456,468,9650,20.61965811965812,2.269958648546007,0,False,,2026-04-29T11:18:18.426483+00:00
16,evaluation,12,28.653557719953824,5947,21048,3.5392634941987557,2.391899397331757,6,False,,2026-04-29T11:18:21.092466+00:00
17,evaluation,13,30.157867075991817,1892,2106,1.113107822410148,2.27514845976095,1,False,,2026-04-29T11:18:22.596776+00:00
18,evaluation,14,32.621016789984424,1840,184000,100.0,2.379143365168294,5,False,,2026-04-29T11:18:25.059925+00:00
19,evaluation,15,33.9447848709533,483,3547,7.3436853002070395,2.25426521540966,0,False,,2026-04-29T11:18:26.383693+00:00
20,evaluation,16,36.21233500598464,1325,132500,100.0,2.4533795703866503,0,False,,2026-04-29T11:18:28.651243+00:00
21,evaluation,17,42.16576186398743,18697,336629,18.004439214847302,2.183199114235139,33,False,,2026-04-29T11:18:34.604670+00:00
22,new_best,17,42.16582073899917,18697,336629,18.004439214847302,2.183199114235139,,True,,2026-04-29T11:18:34.604723+00:00
23,step,17,42.16929644695483,,,,,,False,step=17/60 new_best b1=18697 b2=336630 fitness=2.183199114235139,2026-04-29T11:18:34.608201+00:00
24,evaluation,18,47.3879805659526,17859,172730,9.67187412509099,2.1373893151007066,33,False,,2026-04-29T11:18:39.826888+00:00
25,new_best,18,47.3880319679738,17859,172730,9.67187412509099,2.1373893151007066,,True,,2026-04-29T11:18:39.826934+00:00
26,step,18,47.39191609295085,,,,,,False,step=18/60 new_best b1=17860 b2=172731 fitness=2.1373893151007066,2026-04-29T11:18:39.830831+00:00
27,evaluation,19,49.190899311972316,2637,9855,3.737201365187713,2.297923963811574,3,False,,2026-04-29T11:18:41.629806+00:00
28,evaluation,20,52.56606756296242,3365,336500,100.0,2.4247047310769245,10,False,,2026-04-29T11:18:45.004975+00:00
29,evaluation,21,53.751301973999944,228,1381,6.057017543859649,2.2209989510242294,0,False,,2026-04-29T11:18:46.190210+00:00
30,evaluation,22,59.446623814001214,20936,202675,9.68069354222392,2.082495516087123,37,False,,2026-04-29T11:18:51.885531+00:00
31,new_best,22,59.450536486983765,20936,202675,9.68069354222392,2.082495516087123,,True,,2026-04-29T11:18:51.889439+00:00
32,step,22,59.45392684399849,,,,,,False,step=22/60 new_best b1=20937 b2=202676 fitness=2.082495516087123,2026-04-29T11:18:51.892830+00:00
33,evaluation,23,60.635144706000574,146,1461,10.006849315068493,2.2197794294646256,0,False,,2026-04-29T11:18:53.074053+00:00
34,evaluation,24,67.15611184295267,25950,417950,16.10597302504817,1.9459540143085643,42,False,,2026-04-29T11:18:59.595020+00:00
35,new_best,24,67.15620035299798,25950,417950,16.10597302504817,1.9459540143085643,,True,,2026-04-29T11:18:59.595103+00:00
36,step,24,67.78416102100164,,,,,,False,step=24/60 new_best b1=25951 b2=417950 fitness=1.9459540143085643,2026-04-29T11:19:00.223066+00:00
37,evaluation,25,69.77207497798372,967,95433,98.68976215098242,2.3285691705846077,3,False,,2026-04-29T11:19:02.210984+00:00
38,evaluation,26,72.99376668798504,7765,70040,9.019961365099807,2.4119508619773526,10,False,,2026-04-29T11:19:05.432676+00:00
39,evaluation,27,74.11988405598095,323,346,1.0712074303405572,2.205131463704711,0,False,,2026-04-29T11:19:06.558793+00:00
40,evaluation,28,79.39029984595254,19993,23595,1.1801630570699746,2.599698650699591,14,False,,2026-04-29T11:19:11.829209+00:00
41,evaluation,29,80.6411662849714,141,3189,22.617021276595743,2.2351441238149876,0,False,,2026-04-29T11:19:13.080081+00:00
42,evaluation,30,84.27963252196787,11703,16875,1.4419379646244552,2.510118796090472,8,False,,2026-04-29T11:19:16.718542+00:00
43,evaluation,31,85.93023913097568,1146,21488,18.75043630017452,2.2860291179385914,2,False,,2026-04-29T11:19:18.369148+00:00
44,evaluation,32,87.32887814298738,271,12799,47.22878228782288,2.271477008347482,0,False,,2026-04-29T11:19:19.767787+00:00
45,evaluation,33,89.80466678796802,5740,17062,2.9724738675958187,2.328213421157221,7,False,,2026-04-29T11:19:22.243575+00:00
46,evaluation,34,91.15207206597552,384,6048,15.75,2.2554325141501987,0,False,,2026-04-29T11:19:23.590981+00:00
47,evaluation,35,95.6075800479739,9043,472323,52.23078624350326,2.0409356228397892,34,False,,2026-04-29T11:19:28.046487+00:00
48,evaluation,36,98.1765921409824,6072,15645,2.5765810276679844,2.3814581458202935,6,False,,2026-04-29T11:19:30.615500+00:00
49,evaluation,37,100.30228316498687,1498,89347,59.64419225634179,2.352039273265101,4,False,,2026-04-29T11:19:32.741192+00:00
50,evaluation,38,101.49678482697345,238,1643,6.9033613445378155,2.2221507048740516,0,False,,2026-04-29T11:19:33.935692+00:00
51,evaluation,39,103.19229305296903,1839,10393,5.651441000543774,2.335737354867436,0,False,,2026-04-29T11:19:35.631201+00:00
52,evaluation,40,104.92331754596671,1847,13733,7.435300487276665,2.305520322865636,2,False,,2026-04-29T11:19:37.362225+00:00
53,evaluation,41,106.65283821098274,441,44099,99.99773242630386,2.3459378763755074,0,False,,2026-04-29T11:19:39.091746+00:00
54,evaluation,42,110.06143000198063,8835,96079,10.874816072439163,2.1814078892666857,21,False,,2026-04-29T11:19:42.500338+00:00
55,evaluation,43,111.51534982200246,187,18699,99.99465240641712,2.2823669615809754,0,False,,2026-04-29T11:19:43.954257+00:00
56,evaluation,44,114.46503291395493,2667,260645,97.72965879265092,2.4134270707901595,8,False,,2026-04-29T11:19:46.903940+00:00
57,evaluation,45,120.29284870496485,22859,279859,12.242836519532789,1.9903720616860952,42,False,,2026-04-29T11:19:52.731757+00:00
58,evaluation,46,122.32322903495515,1910,55447,29.02984293193717,2.376024848562341,2,False,,2026-04-29T11:19:54.762137+00:00
59,evaluation,47,123.58371162397088,465,2477,5.326881720430108,2.238262497726674,0,False,,2026-04-29T11:19:56.022619+00:00
60,evaluation,48,126.84088892996078,7610,103797,13.639553219448095,2.286906842730003,16,False,,2026-04-29T11:19:59.279797+00:00
61,evaluation,49,127.94161865499336,146,572,3.9178082191780823,2.2014535122121046,0,False,,2026-04-29T11:20:00.380526+00:00
62,evaluation,50,129.47433515399462,313,31300,100.0,2.30589149802692,0,False,,2026-04-29T11:20:01.913243+00:00
63,evaluation,51,131.83183781796834,1529,152900,100.0,2.348995014429671,6,False,,2026-04-29T11:20:04.270745+00:00
64,evaluation,52,136.14861724997172,14591,25546,1.7508052909327667,2.563760412659155,10,False,,2026-04-29T11:20:08.587525+00:00
65,evaluation,53,139.42223307595123,9476,21994,2.321021528070916,2.388770518903978,12,False,,2026-04-29T11:20:11.861141+00:00
66,evaluation,54,142.809351451986,3887,388699,99.9997427321842,2.287110218991745,16,False,,2026-04-29T11:20:15.248259+00:00
67,evaluation,55,147.45687789598014,18334,449991,24.544071124686376,1.820565268119669,43,False,,2026-04-29T11:20:19.895785+00:00
68,new_best,55,147.46130327996798,18334,449991,24.544071124686376,1.820565268119669,,True,,2026-04-29T11:20:19.900208+00:00
69,step,55,147.46498396195238,,,,,,False,step=55/60 new_best b1=18335 b2=449991 fitness=1.820565268119669,2026-04-29T11:20:19.903889+00:00
70,evaluation,56,153.1490829179529,18996,410169,21.592387871130764,2.0291004259572576,37,False,,2026-04-29T11:20:25.587991+00:00
71,evaluation,57,155.30194597598165,1286,128600,100.0,2.339219102155368,4,False,,2026-04-29T11:20:27.740854+00:00
72,evaluation,58,162.2971749699791,28532,478711,16.778038693396887,1.9151772454637876,44,False,,2026-04-29T11:20:34.736083+00:00
73,evaluation,59,167.1065091479686,10075,542420,53.83821339950372,2.2333967783081192,27,False,,2026-04-29T11:20:39.545416+00:00
74,evaluation,60,168.4835430739913,120,12000,100.0,2.2649851698521113,0,False,,2026-04-29T11:20:40.922451+00:00
