phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 initial_samples=16 iterations=22 candidate_pool=2500 workers=56,1,0,0,0,0,,,,6.511923857033253e-06
2,initial_design_completed points=16,1,16,16,2,56,3.5,3.3161072668254574,,35.23375549202319
3,iteration=1/22 best_fitness=2.699199037702253,17,17,1,1,37,37.0,2.699199037702253,0.6169082291232044,4.946977350045927
4,iteration=2/22 best_fitness=2.699199037702253,18,18,1,0,31,31.0,3.9738600913291418,-1.2746610536268888,4.930855200975202
5,iteration=3/22 best_fitness=2.699199037702253,19,19,1,0,30,30.0,4.23530905344165,-0.26144896211250845,4.526628928957507
6,iteration=4/22 best_fitness=2.699199037702253,20,20,1,0,8,8.0,13.396203347706692,-9.160894294265042,2.607825230108574
7,iteration=5/22 best_fitness=2.699199037702253,21,21,1,0,24,24.0,6.460546100715888,6.935657246990804,7.082055252976716
8,iteration=6/22 best_fitness=2.699199037702253,22,22,1,0,14,14.0,10.225037776711838,-3.7644916759959504,2.9482325359713286
9,iteration=7/22 best_fitness=2.699199037702253,23,23,1,0,20,20.0,7.608985073591663,2.6160527031201752,3.8227447690442204
10,iteration=8/22 best_fitness=2.699199037702253,24,24,1,0,35,35.0,3.097691870708269,4.511293202883394,4.891574275912717
11,iteration=9/22 best_fitness=2.699199037702253,25,25,1,0,22,22.0,6.823090808787389,-3.72539893807912,3.801134500070475
12,iteration=10/22 best_fitness=2.699199037702253,26,26,1,0,23,23.0,6.532142436376224,0.29094837241116434,4.631369273993187
13,iteration=11/22 best_fitness=2.380496412479899,27,27,1,1,39,39.0,2.380496412479899,4.151646023896325,4.749970056000166
14,iteration=12/22 best_fitness=2.380496412479899,28,28,1,0,30,30.0,4.311122597809407,-1.9306261853295084,4.889983517932706
15,iteration=13/22 best_fitness=2.380496412479899,29,29,1,0,28,28.0,4.790111788830326,-0.4789891910209185,4.559947848087177
16,iteration=14/22 best_fitness=2.380496412479899,30,30,1,0,28,28.0,4.938556273741429,-0.14844448491110285,5.171929643955082
17,iteration=15/22 best_fitness=2.380496412479899,31,31,1,0,28,28.0,4.868735426224307,0.06982084751712136,5.057321812957525
18,iteration=16/22 best_fitness=2.380496412479899,32,32,1,0,31,31.0,3.992550990644622,0.8761844355796855,4.980431356001645
19,iteration=17/22 best_fitness=2.380496412479899,33,33,1,0,35,35.0,3.326605698794932,0.66594529184969,7.410002387012355
20,iteration=18/22 best_fitness=2.380496412479899,34,34,1,0,33,33.0,3.6290167678426752,-0.3024110690477433,5.9424362709978595
21,iteration=19/22 best_fitness=2.380496412479899,35,35,1,0,35,35.0,3.101622245062182,0.5273945227804933,5.166679047048092
22,iteration=20/22 best_fitness=2.380496412479899,36,36,1,0,37,37.0,2.6825002037343033,0.41912204132787867,5.060791924013756
23,iteration=21/22 best_fitness=2.380496412479899,37,37,1,0,32,32.0,3.7807791348689683,-1.098278931134665,5.234253591974266
24,iteration=22/22 best_fitness=2.380496412479899,38,38,1,0,31,31.0,4.033260267994176,-0.25248113312520726,5.019799364963546
