event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,5.173031240701675e-06,,,,,,False,numbers=20 max_curves_per_n=100 repeats_per_n=3 swarm_size=18 iterations=12 workers=56,2026-04-29T13:39:47.789265+00:00
2,evaluation,1,1.4271989329718053,1646,1646,1.0,18.243756392199522,0,False,,2026-04-29T13:39:49.216465+00:00
3,evaluation,2,2.8298745090141892,486,8025,16.512345679012345,18.240283180556215,0,False,,2026-04-29T13:39:50.619140+00:00
4,evaluation,3,4.586016098968685,3041,3496,1.1496218349227227,18.319832310985095,0,False,,2026-04-29T13:39:52.375282+00:00
5,evaluation,4,6.001485601998866,1786,1786,1.0,17.561896588823885,1,False,,2026-04-29T13:39:53.790751+00:00
6,evaluation,5,7.363203748012893,519,7888,15.198458574181117,18.233821510028022,0,False,,2026-04-29T13:39:55.152469+00:00
7,evaluation,6,8.844981999020092,138,13800,100.0,18.257946623705912,0,False,,2026-04-29T13:39:56.634247+00:00
8,evaluation,7,10.506404089042917,770,28561,37.092207792207795,17.618725826782455,1,False,,2026-04-29T13:39:58.295670+00:00
9,evaluation,8,14.2178619899787,11400,17728,1.5550877192982455,13.598842775080882,8,False,,2026-04-29T13:40:02.007128+00:00
10,evaluation,9,15.990543816005811,544,54400,100.0,18.323877808920766,0,False,,2026-04-29T13:40:03.779810+00:00
11,evaluation,10,18.10090782493353,4908,4908,1.0,18.393596019136314,0,False,,2026-04-29T13:40:05.890173+00:00
12,evaluation,11,21.96918186696712,13771,13771,1.0,11.92240526691496,11,False,,2026-04-29T13:40:09.758448+00:00
13,evaluation,12,23.41929343494121,159,15900,100.0,18.250476873622794,0,False,,2026-04-29T13:40:11.208559+00:00
14,evaluation,13,30.076438414980657,27365,27365,1.0,11.725996516350378,12,False,,2026-04-29T13:40:17.865704+00:00
15,evaluation,14,31.395697048981674,120,8956,74.63333333333334,18.2223750586431,0,False,,2026-04-29T13:40:19.184962+00:00
16,evaluation,15,32.54404803994112,379,471,1.2427440633245384,18.181521413665774,0,False,,2026-04-29T13:40:20.333314+00:00
17,evaluation,16,37.00268677098211,15183,26544,1.748271092669433,9.027202265249993,17,False,,2026-04-29T13:40:24.791952+00:00
18,evaluation,17,42.9744884170359,22383,125967,5.6277978823214045,5.62911995873475,26,False,,2026-04-29T13:40:30.763753+00:00
19,evaluation,18,44.37669969093986,1688,1688,1.0,18.24139358844983,0,False,,2026-04-29T13:40:32.165965+00:00
20,new_best,17,44.37678337597754,22383,125967,5.6277978823214045,5.62911995873475,,True,,2026-04-29T13:40:32.166043+00:00
21,step,18,44.380847417982295,,,,,,False,init_best fitness=5.62911995873475,2026-04-29T13:40:32.170120+00:00
22,evaluation,19,46.03347302193288,2766,2766,1.0,17.609318655450103,1,False,,2026-04-29T13:40:33.822738+00:00
23,evaluation,20,53.32480956800282,30000,145790,4.859666666666667,4.270284029086501,31,False,,2026-04-29T13:40:41.114075+00:00
24,new_best,20,53.324903542990796,30000,145790,4.859666666666667,4.270284029086501,,True,,2026-04-29T13:40:41.114164+00:00
25,evaluation,21,60.46598987095058,30000,301282,10.042733333333333,1.865356983167264,44,False,,2026-04-29T13:40:48.255255+00:00
26,new_best,21,60.46605877997354,30000,301282,10.042733333333333,1.865356983167264,,True,,2026-04-29T13:40:48.255319+00:00
27,evaluation,22,62.76773491804488,1584,122137,77.10669191919192,17.74499295510295,1,False,,2026-04-29T13:40:50.557000+00:00
28,evaluation,23,66.61263230303302,7714,260678,33.792844179414054,8.9221463961243,17,False,,2026-04-29T13:40:54.401897+00:00
29,evaluation,24,73.55124543502461,30000,43895,1.4631666666666667,5.088617476582702,28,False,,2026-04-29T13:41:01.340511+00:00
30,evaluation,25,80.72174978395924,30000,33527,1.1175666666666666,9.761865234903794,16,False,,2026-04-29T13:41:08.511015+00:00
31,evaluation,26,86.80611591995694,25524,25524,1.0,10.634547743591876,14,False,,2026-04-29T13:41:14.595381+00:00
32,evaluation,27,89.16913517704234,3486,68129,19.54360298336202,13.95104068442302,7,False,,2026-04-29T13:41:16.958400+00:00
33,evaluation,28,94.60708661598619,21964,21964,1.0,11.045114989103798,13,False,,2026-04-29T13:41:22.396352+00:00
34,evaluation,29,101.77983410295565,30000,30000,1.0,12.280699812762375,11,False,,2026-04-29T13:41:29.569099+00:00
35,evaluation,30,108.36274824594148,30000,513946,17.131533333333334,1.9992122811294886,44,False,,2026-04-29T13:41:36.152013+00:00
36,evaluation,31,115.45096837496385,30000,205511,6.850366666666667,3.070215105249951,36,False,,2026-04-29T13:41:43.240233+00:00
37,evaluation,32,119.41385678795632,4644,464400,100.0,10.38865985327523,14,False,,2026-04-29T13:41:47.203122+00:00
38,evaluation,33,120.9068390650209,2066,2066,1.0,18.259982714310688,0,False,,2026-04-29T13:41:48.696104+00:00
39,evaluation,34,125.95986660802737,16475,169956,10.31599393019727,5.505601217264541,26,False,,2026-04-29T13:41:53.749131+00:00
40,evaluation,35,131.0806631760206,14107,335102,23.754306372722763,4.298193243567976,30,False,,2026-04-29T13:41:58.869929+00:00
41,evaluation,36,138.12606938695535,30000,30000,1.0,8.012616918774398,20,False,,2026-04-29T13:42:05.915335+00:00
42,step,36,138.13031611801125,,,,,,False,iteration=1/12 best_fitness=1.865356983167264,2026-04-29T13:42:05.919578+00:00
43,evaluation,37,140.50599190604407,4079,28109,6.891149791615592,15.79488039557381,4,False,,2026-04-29T13:42:08.295257+00:00
