phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 initial_samples=16 iterations=22 candidate_pool=2500 workers=56,1,0,0,0,0,,,,6.934977136552334e-06
2,initial_design_completed points=16,1,16,16,2,64,4.0,553334.286920888,,38.72830430598697
3,iteration=1/22 best_fitness=433684.25375127513,17,17,1,1,38,38.0,433684.25375127513,119650.03316961287,4.221547212044243
4,iteration=2/22 best_fitness=433684.25375127513,18,18,1,0,31,31.0,553250.9851799315,-119566.73142865638,4.30373853695346
5,iteration=3/22 best_fitness=433684.25375127513,19,19,1,0,26,26.0,640834.0507663551,-87583.06558642362,3.049339082033839
6,iteration=4/22 best_fitness=433684.25375127513,20,20,1,0,34,34.0,503550.9403038776,137283.11046247755,4.126250680012163
7,iteration=5/22 best_fitness=433684.25375127513,21,21,1,0,26,26.0,642884.7696970536,-139333.829393176,5.796589120989665
8,iteration=6/22 best_fitness=433684.25375127513,22,22,1,0,7,7.0,974750.5611333547,-331865.7914363011,1.9817190069588833
9,iteration=7/22 best_fitness=433684.25375127513,23,23,1,0,17,17.0,798967.2720706662,175783.28906268848,2.345649448048789
10,iteration=8/22 best_fitness=433684.25375127513,24,24,1,0,33,33.0,515134.14773661364,283833.12433405255,3.8871183319715783
11,iteration=9/22 best_fitness=433684.25375127513,25,25,1,0,31,31.0,557784.1125676746,-42649.96483106096,3.245387020986527
12,iteration=10/22 best_fitness=433684.25375127513,26,26,1,0,9,9.0,941634.1384440742,-383850.0258763996,2.778785972041078
13,iteration=11/22 best_fitness=433684.25375127513,27,27,1,0,27,27.0,626167.5517830942,315466.58666098,3.5874593829503283
14,iteration=12/22 best_fitness=433684.25375127513,28,28,1,0,27,27.0,620900.9996040581,5266.55217903608,4.360054983000737
15,iteration=13/22 best_fitness=433684.25375127513,29,29,1,0,32,32.0,538551.0180666859,82349.98153737222,4.28947340400191
16,iteration=14/22 best_fitness=433684.25375127513,30,30,1,0,32,32.0,539084.3270856814,-533.3090189954964,4.219413408020046
17,iteration=15/22 best_fitness=433684.25375127513,31,31,1,0,31,31.0,553400.9613801489,-14316.634294467513,4.247504128026776
18,iteration=16/22 best_fitness=433684.25375127513,32,32,1,0,36,36.0,466017.5153666729,87383.446013476,3.9183935039909557
19,iteration=17/22 best_fitness=433684.25375127513,33,33,1,0,34,34.0,500850.8776947376,-34833.362328064686,4.016200184007175
20,iteration=18/22 best_fitness=433684.25375127513,34,34,1,0,36,36.0,470317.60438685474,30533.27330788283,4.107766178960446
21,iteration=19/22 best_fitness=433684.25375127513,35,35,1,0,22,22.0,718617.680941154,-248300.07655429927,3.721959009009879
22,iteration=20/22 best_fitness=433684.25375127513,36,36,1,0,24,24.0,679517.6562625611,39100.02467859292,3.8789326589903794
23,iteration=21/22 best_fitness=433684.25375127513,37,37,1,0,34,34.0,503934.319120656,175583.3371419051,4.294839406036772
24,iteration=22/22 best_fitness=433684.25375127513,38,38,1,0,31,31.0,558000.97301484,-54066.65389418404,4.023910094983876
