phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 population_size=22 generations=14 mutation_prob=0.14 workers=56,1,0,0,0,0,,,,1.370901009067893e-05
2,init_best fitness=541668.190513954,1,22,22,1,227,10.318181818181818,541668.190513954,,68.59116962802364
3,generation=1/14 best_fitness=401601.1991207751,23,43,21,1,378,18.0,401601.1991207751,140066.99139317893,79.7216847279924
4,generation=2/14 best_fitness=205717.78172855344,44,64,21,1,626,29.80952380952381,205717.78172855344,195883.41739222166,100.19075224600965
5,generation=3/14 best_fitness=205717.78172855344,65,85,21,0,685,32.61904761904762,395367.82771582244,-189650.045987269,110.6672320299549
6,generation=4/14 best_fitness=205717.78172855344,86,106,21,0,777,37.0,320984.39942040655,74383.42829541588,119.2357321230229
7,generation=5/14 best_fitness=205717.78172855344,107,127,21,0,815,38.80952380952381,301951.1866875773,19033.21273282927,128.91590043797623
8,generation=6/14 best_fitness=205717.78172855344,128,148,21,0,804,38.285714285714285,321584.74850891,-19633.561821332725,134.28308721503709
9,generation=7/14 best_fitness=205717.78172855344,149,169,21,0,866,41.23809523809524,285901.3225656959,35683.4259432141,142.0240695090033
10,generation=8/14 best_fitness=205717.78172855344,170,190,21,0,858,40.857142857142854,279918.155475393,5983.167090302915,142.91379811801016
11,generation=9/14 best_fitness=185518.02041463464,191,211,21,1,867,41.285714285714285,185518.02041463464,94400.13506075836,143.72536933800438
12,generation=10/14 best_fitness=185518.02041463464,212,232,21,0,811,38.61904761904762,234901.2037209533,-49383.18330631865,143.3095606979914
13,generation=11/14 best_fitness=185518.02041463464,233,253,21,0,880,41.904761904761905,250334.59081996948,-15433.387099016196,150.55372460896615
14,generation=12/14 best_fitness=185518.02041463464,254,274,21,0,916,43.61904761904762,198634.55605357417,51700.034766395314,147.32779067801312
15,generation=13/14 best_fitness=185518.02041463464,275,295,21,0,890,42.38095238095238,228634.46822288493,-29999.91216931076,150.3270495790057
16,generation=14/14 best_fitness=185518.02041463464,296,316,21,0,901,42.904761904761905,253784.67430346174,-25150.206080576812,152.62035043298965
