metric,value
best_eval,207
best_eval_fraction,0.8846153846153846
eval_per_sec,0.17685524976783984
evaluation_count,234
improvement_percent,86.57263884578286
max_plateau_evals,108
median_plateau_evals,20.0
new_best_count,7
new_best_rate,0.029914529914529916
p90_plateau_evals,52.69999999999999
time_to_best_sec,1157.2591524829622
time_to_first_improvement_sec,45.65085898095276
total_runtime_sec,1323.1225171020487
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
