event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,8.073984645307064e-06,,,,,,False,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,2026-05-03T10:17:58.522223+00:00
2,evaluation,1,4.995527808961924,20240,122988,6.0764822134387355,451980.62691866455,27,False,,2026-05-03T10:18:03.517748+00:00
3,new_best,1,4.995580058952328,20240,122988,6.0764822134387355,451980.62691866455,,True,,2026-05-03T10:18:03.517794+00:00
4,evaluation,2,6.915289957949426,590,1556,2.6372881355932205,901588.5694978487,0,False,,2026-05-03T10:18:05.437511+00:00
5,evaluation,3,8.89320340094855,1044,4599,4.405172413793103,901610.1522150333,0,False,,2026-05-03T10:18:07.415423+00:00
6,evaluation,4,10.858274437952787,1373,31957,23.275309541150765,884939.9593231027,1,False,,2026-05-03T10:18:09.380495+00:00
7,evaluation,5,12.808830021996982,3155,3155,1.0,901602.251998531,0,False,,2026-05-03T10:18:11.331050+00:00
8,evaluation,6,15.204809129994828,2851,259551,91.0385829533497,751608.2627326495,9,False,,2026-05-03T10:18:13.727029+00:00
9,evaluation,7,17.13448679394787,5486,10774,1.963908129784907,818208.3922415453,5,False,,2026-05-03T10:18:15.656707+00:00
10,evaluation,8,19.883708162989933,12053,12053,1.0,785118.3255691767,7,False,,2026-05-03T10:18:18.405928+00:00
11,evaluation,9,24.51256967597874,24670,24670,1.0,752324.5697609035,9,False,,2026-05-03T10:18:23.034790+00:00
12,evaluation,10,26.771564790979028,7307,18597,2.545093745723279,835007.0961471321,4,False,,2026-05-03T10:18:25.293784+00:00
13,evaluation,11,28.749080164998304,328,328,1.0,901608.7664111013,0,False,,2026-05-03T10:18:27.271299+00:00
14,evaluation,12,30.747439395985566,2247,2247,1.0,901612.8439143262,0,False,,2026-05-03T10:18:29.269659+00:00
15,evaluation,13,32.66160295298323,133,13300,100.0,901586.3804781964,0,False,,2026-05-03T10:18:31.183836+00:00
16,evaluation,14,34.61953539896058,937,937,1.0,901605.1214088036,0,False,,2026-05-03T10:18:33.141755+00:00
17,evaluation,15,36.87315784499515,5074,84162,16.586913677571935,684925.3086258792,13,False,,2026-05-03T10:18:35.395378+00:00
18,evaluation,16,38.866267023957334,243,7593,31.246913580246915,901606.0917870171,0,False,,2026-05-03T10:18:37.388486+00:00
19,evaluation,17,41.73294499295298,12877,12877,1.0,801835.7641063428,6,False,,2026-05-03T10:18:40.255165+00:00
20,evaluation,18,43.70040682796389,497,49700,100.0,901606.8368702545,0,False,,2026-05-03T10:18:42.222627+00:00
