phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 popsize=10 maxiter=10 workers=56,1,0,0,0,0,,,,8.073984645307064e-06
2,generation=1/10 best_fitness=185009.16950195888,1,40,40,3,279,6.975,185009.16950195888,,105.45806404796895
3,generation=2/10 best_fitness=185009.16950195888,41,60,20,0,240,12.0,268274.35281469737,-83265.18331273849,54.83284317504149
4,generation=3/10 best_fitness=185009.16950195888,61,80,20,0,243,12.15,401754.8596616273,-133480.50684692996,62.573233791976236
5,generation=4/10 best_fitness=184973.31169423982,81,100,20,1,428,21.4,184973.31169423982,216781.5479673875,73.22921751701506
6,generation=5/10 best_fitness=184973.31169423982,101,120,20,0,327,16.35,301610.34321818704,-116637.03152394723,63.87794114800636
7,generation=6/10 best_fitness=184973.31169423982,121,140,20,0,502,25.1,201810.3378929635,99800.00532522355,82.74164049397223
8,generation=7/10 best_fitness=184973.31169423982,141,160,20,0,677,33.85,185013.06100560815,16797.276887355343,98.1490663040313
9,generation=8/10 best_fitness=151657.87966612316,161,180,20,1,491,24.55,151657.87966612316,33355.18133948499,84.61438080098014
10,generation=9/10 best_fitness=68021.45639486519,181,200,20,1,518,25.9,68021.45639486519,83636.42327125797,84.09398645197507
11,generation=10/10 best_fitness=68021.45639486519,201,220,20,0,512,25.6,218441.3083065323,-150419.8519116671,87.4690366180148
