phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,successes_sum,success_rate,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 max_curves_per_n=100 repeats_per_n=3 swarm_size=18 iterations=12 workers=56,1,0,0,0,0,,,,8.23699519969523e-06
2,init_best fitness=435221.0386127846,1,18,18,1,74,4.111111111111111,435221.0386127846,,43.814063053010614
3,iteration=1/12 best_fitness=135180.84270767082,19,36,18,3,364,20.22222222222222,135180.84270767082,300040.19590511377,76.14071587599756
4,iteration=2/12 best_fitness=85107.61744613493,37,54,18,2,707,39.27777777777778,85107.61744613493,50073.22526153589,100.45866421099345
5,iteration=3/12 best_fitness=51614.48699032971,55,72,18,1,788,43.77777777777778,51614.48699032971,33493.13045580522,108.81351439100399
6,iteration=4/12 best_fitness=51614.48699032971,73,90,18,0,781,43.388888888888886,85026.49343483373,-33412.00644450402,110.00490661400545
7,iteration=5/12 best_fitness=51614.48699032971,91,108,18,0,808,44.888888888888886,84916.07528534954,110.41814948419051,113.02400536398636
8,iteration=6/12 best_fitness=51614.48699032971,109,126,18,0,806,44.77777777777778,101488.84761651546,-16572.77233116592,113.16196138500527
9,iteration=7/12 best_fitness=51614.48699032971,127,144,18,0,820,45.55555555555556,51662.34821749116,49826.499399024295,111.4075377870031
10,iteration=8/12 best_fitness=18129.460202528306,145,162,18,1,811,45.05555555555556,18129.460202528306,33532.88801496285,112.29805874999147
11,iteration=9/12 best_fitness=18129.460202528306,163,180,18,0,813,45.166666666666664,68052.36142196604,-49922.90121943773,109.44280182301009
12,iteration=10/12 best_fitness=18129.460202528306,181,198,18,0,804,44.666666666666664,51562.64177762119,16489.71964434485,106.25870023999596
13,iteration=11/12 best_fitness=18129.460202528306,199,216,18,0,813,45.166666666666664,34798.13019492551,16764.511582695683,110.57127947399567
14,iteration=12/12 best_fitness=18129.460202528306,217,234,18,0,808,44.888888888888886,34776.32560656726,21.804588358245383,107.54163866200543
