metric,value
best_eval,176
best_eval_fraction,0.8
eval_per_sec,0.2544431108528799
evaluation_count,220
improvement_percent,68.6766574423978
max_plateau_evals,60
median_plateau_evals,23.0
new_best_count,7
new_best_rate,0.031818181818181815
p90_plateau_evals,53.699999999999996
time_to_best_sec,639.1808634860063
time_to_first_improvement_sec,4.639282775999163
total_runtime_sec,864.6338375170017
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
