metric,value
best_eval,232
best_eval_fraction,0.7341772151898734
eval_per_sec,0.2017516588968085
evaluation_count,316
improvement_percent,84.72925647950558
max_plateau_evals,85
median_plateau_evals,20.0
new_best_count,6
new_best_rate,0.0189873417721519
p90_plateau_evals,84.4
time_to_best_sec,1070.4636774649844
time_to_first_improvement_sec,60.101241547992686
total_runtime_sec,1566.2821397939988
flag_b1_hits_boundary,True
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
