new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,17,45.69034294501762,22383,125967,5.6277978823214045,283439.4931878653,35,,,
2,21,59.33618786299485,30000,262837,8.761233333333333,132776.2956563826,44,150663.1975314827,53.1553298508131,3
3,38,131.40224390599178,30000,600000,20.0,100514.51172837526,46,32261.78392800734,24.297849076539215,16
4,39,137.53699238301488,30000,600000,20.0,84706.06451762373,47,15808.447210751532,15.727527238525902,0
5,44,167.58353197801625,30000,600000,20.0,49121.49458406415,49,35584.56993355958,42.00947138342845,4
6,52,216.14295673600282,30000,600000,20.0,16637.431916336256,51,32484.062667727896,66.1300372531138,7
7,82,398.170778263011,30000,600000,20.0,16186.847499654203,52,450.5844166820534,2.7082570131489203,29
8,91,454.3529214320006,30000,600000,20.0,15340.64297932782,51,846.2045203263824,5.227728996300606,8
9,139,765.1350439620146,30000,600000,20.0,15197.401721944916,53,143.24125738290422,0.9337369859655036,47
10,211,1215.382028549997,30000,600000,20.0,14651.193108181662,51,546.2086137632541,3.59409209387769,71
