metric,value
best_eval,4
best_eval_fraction,0.01904761904761905
eval_per_sec,0.017635175473493577
evaluation_count,210
improvement_percent,88.24807181336753
max_plateau_evals,206
median_plateau_evals,0.0
new_best_count,4
new_best_rate,0.01904761904761905
p90_plateau_evals,123.60000000000002
time_to_best_sec,197.314086458995
time_to_first_improvement_sec,55.13776567403693
total_runtime_sec,11908.018738778017
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
