new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,successes,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,113.94205387600232,529692,18676574,35.25930918345001,67535.87329260318,640,,,
2,4,277.1226280819974,6875,4483668,652.1698909090909,52990.233677906435,561,14545.639614696745,21.537649408451266,2
3,5,324.35089798195986,26340,339398,12.885269552012149,31310.42233924927,610,21679.811338657164,40.91284343155533,0
4,15,1204.442034022999,56724,12499020,220.34800084620267,29879.696857164527,640,1430.7254820847447,4.569486372885026,9
5,26,2093.975300753955,22368,2304536,103.02825464949929,28502.183479552223,628,1377.5133776123039,4.61019863821679,10
6,80,6149.292634351004,24800,1821292,73.4391935483871,26009.859797945173,638,2492.3236816070494,8.744325442277324,53
7,146,9790.640436846006,39982,3576615,89.45563003351508,25820.231274590988,640,189.62852335418575,0.7290639966047289,65
8,156,10224.77705264499,26630,2861009,107.43556139692076,25536.278053865062,639,283.95322072592535,1.0997315155939609,9
9,193,11867.005011753005,30081,2864742,95.23426747780991,24505.175817552845,639,1031.1022363122174,4.037793738528603,36
10,484,24642.018123963964,32163,2689055,83.60709510928707,24217.327567638604,638,287.848249914241,1.1746426634819644,290
