phase_idx,phase_label,eval_from,eval_to,eval_count,new_best_count,best_fitness_in_phase,improvement_in_phase,phase_duration_sec
1,numbers=20 curves_per_n=12 population_size=22 generations=14 mutation_prob=0.14 workers=12,1,0,0,0,,,1.2981006875634193e-05
2,init_best fitness=0.7866178890108131,1,22,22,1,0.7866178890108131,,9.212303704000078
3,generation=1/14 best_fitness=0.7866178890108131,23,43,21,0,0.8045342090772465,-0.0179163200664334,6.385814908018801
4,generation=2/14 best_fitness=0.7866178890108131,44,64,21,0,0.8115356486814562,-0.007001439604209736,5.569981255976018
5,generation=3/14 best_fitness=0.7866178890108131,65,85,21,0,0.7936743215832394,0.01786132709821686,5.432367093046196
6,generation=4/14 best_fitness=0.7866178890108131,86,106,21,0,0.7897374989988748,0.003936822584364563,5.178519165958278
7,generation=5/14 best_fitness=0.7866178890108131,107,127,21,0,0.7873583224427421,0.002379176556132734,4.902227726008277
8,generation=6/14 best_fitness=0.764738133555511,128,148,21,1,0.764738133555511,0.022620188887231052,4.771477443980984
9,generation=7/14 best_fitness=0.7605117765197065,149,169,21,1,0.7605117765197065,0.00422635703580454,4.795772155048326
10,generation=8/14 best_fitness=0.7605117765197065,170,190,21,0,0.7809646839741617,-0.02045290745445527,4.925821173004806
11,generation=9/14 best_fitness=0.7605117765197065,191,211,21,0,0.7891379043867346,-0.008173220412572846,4.892855489975773
12,generation=10/14 best_fitness=0.7521557219151873,212,232,21,1,0.7521557219151873,0.036982182471547276,4.859688470023684
13,generation=11/14 best_fitness=0.7506667326379102,233,253,21,1,0.7506667326379102,0.0014889892772771418,4.793749082949944
14,generation=12/14 best_fitness=0.7412391428370029,254,274,21,1,0.7412391428370029,0.009427589800907299,4.79148079501465
15,generation=13/14 best_fitness=0.7412391428370029,275,295,21,0,0.7572172980871983,-0.015978155250195414,4.7992358729825355
16,generation=14/14 best_fitness=0.7412391428370029,296,316,21,0,0.7667387589754071,-0.009521460888208821,4.79487996903481
