new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,0.528776871971786,12635,303240,24.0,2.2992629346845206,,,
2,2,0.8343075609882362,6730,6730,1.0,1.201605364214629,1.0976575704698917,47.73954095948144,0
3,4,1.5906776339979842,3238,77712,24.0,1.1097932254488114,0.09181213876581751,7.6407896885368904,1
4,6,2.8003494989825413,2170,4618,2.128110599078341,0.8094386251468677,0.3003546003019437,27.064014576271838,1
5,19,8.926152305968571,2096,3550,1.6937022900763359,0.787616186280502,0.0218224388663657,2.6959967301296195,12
6,30,12.232077460968867,2036,3494,1.7161100196463654,0.7821939720306545,0.005422214249847457,0.6884335726331032,10
7,33,13.030289974994957,2048,3260,1.591796875,0.779966116475407,0.0022278555552475154,0.2848213659156408,2
8,34,13.288068132009357,2074,3191,1.538572806171649,0.7732742917141877,0.006691824761219323,0.8579635217307958,0
9,37,14.082684877968859,2030,2868,1.412807881773399,0.7669416987919249,0.006332592922262847,0.8189322973902069,2
10,38,14.336130839015823,2072,2721,1.3132239382239381,0.760391845862614,0.006549852929310873,0.8540222730916971,0
