new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,1,1.0495076880324632,39414,514172,13.045415334652661,4.898961023951415,,,
2,2,1.5127600710256957,9645,231480,24.0,1.9898384698317386,2.9091225541196764,59.382439253889586,0
3,3,1.8028105990379117,6193,6193,1.0,1.1053606837813277,0.8844777860504109,44.44972792817714,0
4,5,2.6345065149944276,3183,44140,13.867420672321709,1.005075230001239,0.10028545378008857,9.072645268784314,1
5,9,4.320650433015544,3422,13386,3.9117475160724724,0.9399348409788217,0.06514038902241737,6.481145597662083,3
6,29,14.146358042024076,2113,3905,1.848083293894936,0.8925752975628711,0.04735954341595061,5.038598565686927,19
7,44,19.64639776799595,2101,11411,5.431223227034745,0.8351298687630333,0.05744542879983783,6.435919631283711,14
8,48,20.794951985008083,2301,5429,2.3594089526292916,0.8281014978128951,0.007028370950138196,0.8415901781298262,3
9,51,21.623889437993057,2455,2455,1.0,0.7690102088963613,0.05909128891653381,7.1357543818723,2
10,173,78.8464012510376,2059,2176,1.0568237008256436,0.7261639787757304,0.042846230120630935,5.571607453966229,121
11,186,82.93562355503673,2000,2061,1.0305,0.7145402039168403,0.011623774858890101,1.6007093712479517,12
12,203,89.20648434601026,2068,2185,1.056576402321083,0.6902416460507084,0.024298557866131887,3.400586521645157,16
13,219,93.76476756704506,2549,2549,1.0,0.676202359405579,0.014039286645129323,2.0339669049899567,15
