new_best_idx,eval,elapsed_sec,b1,b2,ratio,fitness,delta_abs_vs_prev_best,delta_pct_vs_prev_best,plateau_since_prev_new_best
1,3,9.271605684014503,5386,5386,1.0,1.030514898011461,,,
2,21,10.133583088987507,3682,6513,1.7688756110809343,1.0296069502655882,0.0009079477458726615,0.08810622220257933,17
3,23,10.842789941001683,2395,5511,2.3010438413361167,0.8530563491221983,0.17655060114338994,17.147378530986852,1
4,25,11.31422569899587,2000,4453,2.2265,0.8081437324581202,0.04491261666407809,5.264906205820228,1
5,28,12.133442817023024,2014,2015,1.0004965243296922,0.7549079185118899,0.05323581394623034,6.5874190206615415,2
6,38,14.647737472027075,2000,2000,1.0,0.7543862187594641,0.0005216997524257749,0.0691077334907513,9
7,42,15.58245364902541,2000,2000,1.0,0.7539294952875935,0.0004567234718706459,0.060542393340866696,3
8,50,17.45317844301462,2000,2000,1.0,0.7391204764135182,0.014809018874075264,1.9642445303756455,7
9,60,19.78717740502907,2000,2000,1.0,0.7376727483351715,0.0014477280783466995,0.1958717319497903,9
10,124,34.1257961789961,2000,2000,1.0,0.7372390562959481,0.00043369203922338784,0.058791929104358626,63
11,152,40.45947644300759,2000,2000,1.0,0.7290352447598707,0.00820381153607741,1.1127749494573946,27
