event_idx,kind,eval,elapsed_sec,b1,b2,ratio,fitness,successes,is_new_best,message,timestamp_utc
1,step,0,1.8183010979555547e-05,,,,,,False,numbers=40 max_curves_per_n=320 repeats_per_n=3 initial_samples=10 iterations=45 candidate_pool=1500 workers=56,2026-05-23T05:44:56.946332+00:00
2,evaluation,1,109.16518934200576,217360,31024967,142.7354020979021,190678.5934620915,116,False,,2026-05-23T05:46:46.111507+00:00
3,new_best,1,109.16807739100477,217360,31024967,142.7354020979021,190678.5934620915,,True,,2026-05-23T05:46:46.114393+00:00
4,evaluation,2,218.0941984180099,12093,46800002,3870.007607706938,434913.5501966044,41,False,,2026-05-23T05:48:35.040517+00:00
5,evaluation,3,317.9816026840126,151749,1123578,7.404187177510231,286779.7036278256,77,False,,2026-05-23T05:50:14.927920+00:00
6,evaluation,4,399.6886390580039,75509,8607443,113.99227906607159,229246.87086802057,85,False,,2026-05-23T05:51:36.634957+00:00
7,evaluation,5,432.9608259240049,23346,2430146,104.09260687055598,236757.48443763485,33,False,,2026-05-23T05:52:09.907144+00:00
8,evaluation,6,522.983714011003,293881,27615662,93.96885814326207,168075.86772808727,117,False,,2026-05-23T05:53:39.930032+00:00
9,new_best,6,522.9880871960049,293881,27615662,93.96885814326207,168075.86772808727,,True,,2026-05-23T05:53:39.934401+00:00
10,evaluation,7,544.1895441390079,10549,1231467,116.73779505166367,231930.96262471983,17,False,,2026-05-23T05:54:01.135862+00:00
11,evaluation,8,653.7511053390044,10283,49456420,4809.53223767383,449960.2526737897,38,False,,2026-05-23T05:55:50.697423+00:00
12,evaluation,9,787.5387009730039,43968,92593946,2105.9394559679768,290434.42807662016,102,False,,2026-05-23T05:58:04.485019+00:00
13,evaluation,10,842.2076700280013,20866,9724197,466.0307198313045,270839.77422224375,44,False,,2026-05-23T05:58:59.153988+00:00
14,step,10,842.2121643380087,,,,,,False,initial_design_completed points=10,2026-05-23T05:58:59.158480+00:00
15,evaluation,11,982.2924610470072,336718,64834669,192.54886581649927,176607.69288854004,119,False,,2026-05-23T06:01:19.238779+00:00
16,step,11,982.2956735150074,,,,,,False,iteration=1/45 best_fitness=168075.86772808727,2026-05-23T06:01:19.241987+00:00
17,evaluation,12,1110.2158593750064,160854,126167014,784.3573302497917,179027.53738742767,117,False,,2026-05-23T06:03:27.162177+00:00
18,step,12,1110.2203585730022,,,,,,False,iteration=2/45 best_fitness=168075.86772808727,2026-05-23T06:03:27.166672+00:00
19,evaluation,13,1195.527872472012,121141,73908515,610.1032268183357,160942.45662821602,119,False,,2026-05-23T06:04:52.474189+00:00
20,new_best,13,1195.5312231210119,121141,73908515,610.1032268183357,160942.45662821602,,True,,2026-05-23T06:04:52.477536+00:00
21,step,13,1195.5339150200016,,,,,,False,iteration=3/45 best_fitness=160942.45662821602,2026-05-23T06:04:52.480228+00:00
22,evaluation,14,1318.717398371009,103643,74628967,720.0579585693197,188074.5375514574,112,False,,2026-05-23T06:06:55.663716+00:00
23,step,14,1318.824862844005,,,,,,False,iteration=4/45 best_fitness=160942.45662821602,2026-05-23T06:06:55.771176+00:00
24,evaluation,15,1424.0384185980074,54881,41611044,758.2049160911791,251390.56641866913,100,False,,2026-05-23T06:08:40.984736+00:00
25,step,15,1424.041990964004,,,,,,False,iteration=5/45 best_fitness=160942.45662821602,2026-05-23T06:08:40.988304+00:00
26,evaluation,16,1544.5729154480068,114728,117383096,1023.1425284150338,195742.57249572006,116,False,,2026-05-23T06:10:41.519234+00:00
27,step,16,1544.5762892040075,,,,,,False,iteration=6/45 best_fitness=160942.45662821602,2026-05-23T06:10:41.522604+00:00
28,evaluation,17,1678.392136141003,82146,97230791,1183.6339079200447,250622.99049939692,112,False,,2026-05-23T06:12:55.338454+00:00
29,step,17,1678.3961971550016,,,,,,False,iteration=7/45 best_fitness=160942.45662821602,2026-05-23T06:12:55.342512+00:00
30,evaluation,18,1786.8706759020133,129919,71193674,547.985083013262,162429.99158610156,117,False,,2026-05-23T06:14:43.816994+00:00
31,step,18,1786.874122031004,,,,,,False,iteration=8/45 best_fitness=160942.45662821602,2026-05-23T06:14:43.820435+00:00
32,evaluation,19,1910.1178768470127,128265,79798410,622.1370599929833,167354.98170931285,120,False,,2026-05-23T06:16:47.064194+00:00
33,step,19,1910.1213827070023,,,,,,False,iteration=9/45 best_fitness=160942.45662821602,2026-05-23T06:16:47.067696+00:00
34,evaluation,20,2040.363748542004,107096,41704004,389.40767162172256,187834.3751512644,112,False,,2026-05-23T06:18:57.310066+00:00
35,step,20,2040.3675520300021,,,,,,False,iteration=10/45 best_fitness=160942.45662821602,2026-05-23T06:18:57.313865+00:00
36,evaluation,21,2144.340569128006,114035,74275212,651.3369754899811,173689.43695874463,118,False,,2026-05-23T06:20:41.286888+00:00
37,step,21,2144.344300954006,,,,,,False,iteration=11/45 best_fitness=160942.45662821602,2026-05-23T06:20:41.290614+00:00
38,evaluation,22,2248.683449906006,85238,63454038,744.4336798141674,183459.7405886838,114,False,,2026-05-23T06:22:25.629768+00:00
39,step,22,2248.686956482008,,,,,,False,iteration=12/45 best_fitness=160942.45662821602,2026-05-23T06:22:25.633270+00:00
40,evaluation,23,2397.031274210007,445536,7064004,15.855068950657186,252685.45016171853,115,False,,2026-05-23T06:24:53.977592+00:00
41,step,23,2397.034822640009,,,,,,False,iteration=13/45 best_fitness=160942.45662821602,2026-05-23T06:24:53.981136+00:00
42,evaluation,24,2509.610057789003,319836,24806506,77.5600807914056,188664.2828178147,119,False,,2026-05-23T06:26:46.556376+00:00
43,step,24,2509.6134755530074,,,,,,False,iteration=14/45 best_fitness=160942.45662821602,2026-05-23T06:26:46.559789+00:00
44,evaluation,25,2654.5522137610096,140923,88828659,630.3347147023552,196869.30710959143,119,False,,2026-05-23T06:29:11.498532+00:00
45,step,25,2654.5560848650057,,,,,,False,iteration=15/45 best_fitness=160942.45662821602,2026-05-23T06:29:11.502398+00:00
46,evaluation,26,2798.5284819220105,105206,89702009,852.6320647111381,211587.65762706992,112,False,,2026-05-23T06:31:35.474800+00:00
47,step,26,2798.531993306009,,,,,,False,iteration=16/45 best_fitness=160942.45662821602,2026-05-23T06:31:35.478308+00:00
48,evaluation,27,2931.9762011880084,173206,64512236,372.4595914691177,180556.7498581482,118,False,,2026-05-23T06:33:48.922520+00:00
49,step,27,2931.980246239007,,,,,,False,iteration=17/45 best_fitness=160942.45662821602,2026-05-23T06:33:48.926560+00:00
50,evaluation,28,3046.861636643007,140336,77642896,553.2642800136814,171832.80533660515,117,False,,2026-05-23T06:35:43.807956+00:00
51,step,28,3046.866292495004,,,,,,False,iteration=18/45 best_fitness=160942.45662821602,2026-05-23T06:35:43.812606+00:00
52,evaluation,29,3165.183978304005,121584,59153977,486.5276434399263,180735.25494832918,117,False,,2026-05-23T06:37:42.130297+00:00
53,step,29,3165.1884604869992,,,,,,False,iteration=19/45 best_fitness=160942.45662821602,2026-05-23T06:37:42.134774+00:00
54,evaluation,30,3283.463791317001,130259,81674659,627.0173961108253,184205.2249091386,116,False,,2026-05-23T06:39:40.410110+00:00
55,step,30,3283.467745246002,,,,,,False,iteration=20/45 best_fitness=160942.45662821602,2026-05-23T06:39:40.414059+00:00
56,evaluation,31,3379.2951089550043,114724,81820660,713.195669607057,155935.94437615678,117,False,,2026-05-23T06:41:16.241428+00:00
57,new_best,31,3379.298787630003,114724,81820660,713.195669607057,155935.94437615678,,True,,2026-05-23T06:41:16.245101+00:00
58,step,31,3379.302260774013,,,,,,False,iteration=21/45 best_fitness=155935.94437615678,2026-05-23T06:41:16.248574+00:00
59,evaluation,32,3492.5804545360006,115734,82090371,709.302115195189,192234.20116140728,116,False,,2026-05-23T06:43:09.526773+00:00
60,step,32,3492.5842409210018,,,,,,False,iteration=22/45 best_fitness=155935.94437615678,2026-05-23T06:43:09.530554+00:00
61,evaluation,33,3596.5819332170067,114565,83206314,726.2803997730546,188463.50694833716,117,False,,2026-05-23T06:44:53.528252+00:00
62,step,33,3596.585955437011,,,,,,False,iteration=23/45 best_fitness=155935.94437615678,2026-05-23T06:44:53.532270+00:00
63,evaluation,34,3683.8736357150046,128331,73564695,573.241812188793,156210.53599219598,120,False,,2026-05-23T06:46:20.819954+00:00
64,step,34,3683.8776491710014,,,,,,False,iteration=24/45 best_fitness=155935.94437615678,2026-05-23T06:46:20.823964+00:00
65,evaluation,35,3798.836763783009,131509,66311560,504.23590780859104,167633.81309827545,115,False,,2026-05-23T06:48:15.783082+00:00
66,step,35,3798.84126645801,,,,,,False,iteration=25/45 best_fitness=155935.94437615678,2026-05-23T06:48:15.787580+00:00
67,evaluation,36,3916.745395021004,122944,76972670,626.079109187923,190839.48464635594,115,False,,2026-05-23T06:50:13.691713+00:00
68,step,36,3916.749735179008,,,,,,False,iteration=26/45 best_fitness=155935.94437615678,2026-05-23T06:50:13.696048+00:00
69,evaluation,37,4023.1632261320046,125263,74994091,598.6930777643837,176189.95543832908,117,False,,2026-05-23T06:52:00.109544+00:00
70,step,37,4023.167631863005,,,,,,False,iteration=27/45 best_fitness=155935.94437615678,2026-05-23T06:52:00.113947+00:00
71,evaluation,38,4139.373949569999,111781,81738889,731.2413469194228,184795.4346684858,115,False,,2026-05-23T06:53:56.320268+00:00
72,step,38,4139.378150520002,,,,,,False,iteration=28/45 best_fitness=155935.94437615678,2026-05-23T06:53:56.324466+00:00
73,evaluation,39,4248.513987145008,127161,71683537,563.7226586767955,189781.95742997024,118,False,,2026-05-23T06:55:45.460305+00:00
74,step,39,4248.517718692005,,,,,,False,iteration=29/45 best_fitness=155935.94437615678,2026-05-23T06:55:45.464034+00:00
75,evaluation,40,4348.7718248520105,145813,65339547,448.10508665208175,185518.4902225508,116,False,,2026-05-23T06:57:25.718143+00:00
76,step,40,4348.776150031001,,,,,,False,iteration=30/45 best_fitness=155935.94437615678,2026-05-23T06:57:25.722463+00:00
77,evaluation,41,4472.105074789011,124210,67940628,546.9819499235166,198346.39824928335,116,False,,2026-05-23T06:59:29.051393+00:00
