metric,value
best_eval,43
best_eval_fraction,0.7818181818181819
eval_per_sec,0.009166198454362262
evaluation_count,55
improvement_percent,27.182263389805293
max_plateau_evals,17
median_plateau_evals,8.5
new_best_count,5
new_best_rate,0.09090909090909091
p90_plateau_evals,14.5
time_to_best_sec,4667.137637712003
time_to_first_improvement_sec,109.16807739100477
total_runtime_sec,6000.311483194004
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
